id;name;description;color;create_date;modification_date;due_date;start_date;complete_date
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;GREEN;2020-03-10;2020-03-10;2020-03-09;2020-03-10;2020-03-10
2;Grocery;Baby Baby morph;PINK;2020-03-09;2020-03-10;2020-03-09;2020-03-10;2020-03-09
3;Central calculating;PNG solid state Designer;PURPLE;2020-03-10;2020-03-10;2020-03-10;2020-03-09;2020-03-09
4;zero administration;hacking;PURPLE;2020-03-10;2020-03-10;2020-03-09;2020-03-09;2020-03-10
5;back-end optical;Ramp;PURPLE;2020-03-10;2020-03-10;2020-03-10;2020-03-10;2020-03-10
6;Avon interface Orchestrator;integrate;PURPLE;2020-03-10;2020-03-10;2020-03-09;2020-03-09;2020-03-10
7;ADP Western Sahara Plastic;Engineer input;GREY;2020-03-10;2020-03-09;2020-03-10;2020-03-10;2020-03-09
8;methodical Legacy applications;optimize Concrete;PINK;2020-03-10;2020-03-10;2020-03-10;2020-03-10;2020-03-10
9;copying;Organized Rubber parse;PINK;2020-03-10;2020-03-10;2020-03-10;2020-03-10;2020-03-09
10;whiteboard Shirt Bike;enhance;YELLOW;2020-03-09;2020-03-10;2020-03-10;2020-03-10;2020-03-10
